Title,ReleaseDate,GenreName,Director,LeadActors,SupportingActors,Language,Runtime,Budget,BoxOfficeRevenue,Rating,ReleaseType
Dumb Warfare: End of the Road,15/03/2024,Comedy:Documentary:Action,Zander Rice,Zander Rice:Blaze Rice,Zoey Rice:Khy Delgadillo,English,83,378900000,378925000,1.1,NR
Prey,15/03/2024,Action:Thriller,Mukunda Michael Dewil,Ryan Phillippe:Emile Hirsch,Mena Suvari:Dylan Flashner,English,86,183316455,183341455,4.7,NR
Warchief,08/01/2024,Fantasy:Adventure:Action,Stuart Brennan,Rosanna Miles:Stuart Brennan,Suzanne Packer:Mark Paul Wake,English,94,378900000,378925000,6.3,PG-13
Yodha,15/03/2024,Action:Adventure:Thriller,Pushkar Ojha,Sidharth Malhotra:Disha Patani:Tiger:Salman Khan:Sachin:Rahul,Raashii Khanna:Shivangi Bhardwaj,Hindi:Odia:Tamil:Julu:Urdu:123456,130,183316455,183341455,7,R
The Big Split,14/03/2024,Science Fiction:Mystery:Thriller:Action,Derek Z. Bolden,Luke Hobbs:Graycen Fountain,Michael Vick:Nathan Smith II,English,97,18200000,18225000,1.2,R
Art of Love,14/03/2024,Romance:Action:Drama,Recai Karagöz,Birkan Sokullu:Esra Bilgiç,Fırat Tanış:Ushan Çakır,Turkish,61,993,25993,7.216,PG-13
24 Hours with Gaspar,06/10/2023,Action:Crime:Drama:Mystery:Science Fiction:Thriller,Yosep Anggi Noen,Reza Rahadian:Laura Basuki,Shenina Cinnamon:Dewi Irawan,Indonesian,62,72000000,72025000,7.2,R
Civil War,10/04/2024,Action:Science Fiction:Drama,Alex Garland,Kirsten Dunst:Wagner Moura,Cailee Spaeny:Nick Offerman,English:Spanish,71,40000000,40025000,2.3,PG
The Fall Guy,24/04/2024,Action:Comedy:Adventure,David Leitch,Ryan Gosling:Emily Blunt,Winston Duke:Aaron Taylor-Johnson,English,75,205000000,205025000,3.4,PG-13
Monkey Man,03/04/2024,Action:Thriller,Dev Patel,Dev Patel:Sharlto Copley,Pitobash:Vipin Sharma,English:Hindi,56,87229100,87254100,4.3,PG
Odds and Evens,28/10/1978,Comedy:Crime:Action,Sergio Corbucci,Terence Hill:Bud Spencer,Luciano Catenacci:Marisa Laurito,English:Italian,74,750000,775000,6.9,PG
I'm for the Hippopotamus,30/11/1979,Action:Adventure:Comedy,Italo Zingarelli,Terence Hill:Bud Spencer,Joe Bugner:May Dlamini,French:Italian,82,72000000,72025000,6.765,PG-13
Who Finds a Friend Finds a Treasure,09/12/1981,Action:Adventure:Comedy,Sergio Corbucci,Terence Hill:Bud Spencer,John Fujioka:Louise Bennett,Italian,60,40000000,40025000,6.862,PG
Azrael,09/03/2024,Action:Horror,E.L. Katz,Samara Weaving:Vic Carmen Sonne,Katariina Unt:Nathan Stewart-Jarrett,No Language,63,34000000,34025000,6,PG-13
Agastya – Chapter 1,01/03/2024,Action:Mystery:Thriller,Saurav Chaudhary,Saugat Malla:Najir Hussain,Nischal Basnet:Malika Mahat,Nepali,62,378900000,378925000,3.5,PG-12
Yolo,10/02/2024,Drama:Comedy:Action,Jia Ling,Jia Ling:Lei Jiayin,Li Xueqin:Zhang Xiaofei,Mandarin,71,183316455,840000,5.9,PG-13
Kung Fu Panda 4,02/03/2024,Action:Adventure:Animation:Comedy:Family,Mike Mitchell,Jack Black:Awkwafina,Bryan Cranston:Viola Davis,English,92,18200000,176000000,6.874,PG
Damsel,08/03/2024,Mystery:Fantasy:Action:Adventure,Juan Carlos Fresnadillo,Millie Bobby Brown:Ray Winstone,Angela Bassett:Brooke Carter,English,62,993,25993,7.2,PG-13
Road House,08/03/2024,Action:Thriller,Doug Liman,Jake Gyllenhaal:Daniela Melchior,Billy Magnussen:Jessica Williams,English,97,72000000,72025000,6,R
The Thundermans Return,07/03/2024,Family:Science Fiction:Action:Comedy,Trevor Kirschner,Kira Kosarin:Jack Griffo,Addison Riecke:Diego Velazquez,English,97,40000000,40025000,7.964,PG-19
Midnight,06/03/2024,Thriller:Action,Takashi Miike,Kento Kaku:Konatsu Kato,Yukiyoshi Ozawa:Takashi Miike,Japanese,60,205000000,205025000,6,NR
Pledging: The Movie,06/03/2024,Thriller:Action:Drama,Sam O'Quinn,Austin Petree:Tyler Wangen,Reid Heuerman:Lawson Berry,English,62,87229100,87254100,3.8,R
The Klutzy Witch: Fūka and the Dark Witch,31/03/2023,Animation:Action:Adventure:Fantasy,Takayuki Hamana,Honoka Inoue:Mutsumi Tamura,Manaka Iwami:Kensho Ono,Japanese,97,750000,775000,5.5,PG-18
GRUFF,01/03/2024,Animation:Family:Drama:Action:Western,Julian Curi,Joey Marie Urbina:Avila Kast,Charles Carpenter:Bradford Loomis,English:Spanish,61,72000000,72025000,10,NR
Blind Cop 2,01/03/2024,Action:Comedy,Alec Bonk,George Fearing:Isaac McKinnon,Brandon deSpain:Steven Vogel,English,56,40000000,40025000,5.25,NR
Outlaw Posse,01/03/2024,Western:Action,Mario Van Peebles,Mario Van Peebles:William Mapother,John Carroll Lynch:D.C. Young Fly,English,62,34000000,34025000,6.5,R
The Moon Thieves,09/02/2024,Action:Crime:Thriller,Yuen Kim Wai,Edan Lui:Anson Lo,Louis Cheung:Michael Ning,Cantonese,60,337134868,2977663,6.5,PG-13
The Last Avenger,29/02/2024,Action:Adventure,Sky Deuel,Carter Humphrey:Nick Worthley,Clark Tansey:Magnolia Wilke,English,92,378900000,378925000,6.34,PG-12
Five Stars,28/02/2024,Horror:Action:Thriller,Paris Jade,Paris Jade:Natalie Wood,Steven Santiago,English,97,183316455,183341455,10,PG-19
Code 8 Part II,27/02/2024,Science Fiction:Action:Crime,Jeff Chan,Robbie Amell:Stephen Amell,Alex Mallari Jr.:Sirena Gulamgaus,English,97,378900000,378925000,6.579,PG-18
Snow White and the 7 Samurai,01/03/2024,Action:Comedy,Michael Su,Quinton Jackson:Eric Roberts,Gina Vitori:Geena Alexandra,English,97,183316455,183341455,1,PG-13
Welcome To My World,15/02/2024,Action:Thriller:Mystery:Crime,Sergiusz Brasławski,Szymon Andrezejewski:Kacper Stencel,Inez Wilczewska:Mateusz Ciurkot,Polish,61,18200000,18225000,5.23,NR
Road to Paradise,24/02/2024,Adventure:Action:Comedy,Alison King,Katie Leuteritz:Jazz Wang Andera,Gabby Tanen:Alex Gurl,English,60,993,25993,10,R
Dragonkeeper,11/04/2024,Action:Adventure:Animation:Family:Fantasy,Salvador Simó,Mayalinee Griffiths:Bill Nighy,Naomi Yang:Bill Bailey,Mandarin:Spanish:English,61,72000000,72025000,7.21,PG-13
Firecracker,23/02/2024,Thriller:Action,Andrew-Lee Potts,Andrew-Lee Potts:Jason Flemyng,Nick Moran:Katie Sheridan,English,56,40000000,40025000,1.1,PG-12
Red Right Hand,22/02/2024,Crime:Action:Thriller,Eshom Nelms,Orlando Bloom:Andie MacDowell,Scott Haze:Chapel Oaks,English,60,205000000,205025000,1.2,PG-19
Tenet,22/08/2020,Action:Thriller:Science Fiction,Christopher Nolan,John David Washington:Robert Pattinson,Elizabeth Debicki:Kenneth Branagh,English:Estonian,63,87229100,365304105,2.3,PG-18
The Phantom Warrior,20/02/2024,Action:Fantasy:Science Fiction:Drama,Savvas D. Michael,Nicole Bartlett:Steven Berkoff,Dean Cain:Jenny Miller,English,62,750000,775000,3.4,NR
The Abyss,15/09/2023,Thriller:Drama:Action,Richard Holm,Tuva Novotny:Peter Franzén,Kardo Razzazi:Felicia Truedsson,German:Swedish,60,72000000,72025000,4.3,PG-13
Land of Bad,25/01/2024,Action:Thriller:War,William Eubank,Liam Hemsworth:Russell Crowe,Luke Hemsworth:Ricky Whittle,English,97,40000000,5045830,3.5,PG-12
Lights Out,16/02/2024,Action:Thriller,Christian Sesma,Frank Grillo:Mekhi Phifer,Jaime King:Dermot Mulroney,Spanish:English,60,34000000,34025000,3.8,R
Love Punch Kill,14/02/2024,Action,Anthony Alba,Achara Kirk:Brandon Yates,Brandon Shealy:Justin Chang,English,92,378900000,378925000,5.25,NR
Art of Love,13/02/2024,Action:Thriller,Adam Silvia,Los Iglesias:Keith Van Nelson,Trinelle Bartholomew:Jake Lesh,English,60,183316455,183341455,6.34,R
Fortunes of War,13/02/2024,War:Action,Bill Thomas,James Oliver Wheatley:Asan N'Jie,Sophie-Louise Craig:Daniel Thrace,English,60,183316455,183341455,5.23,PG-13
Narco Killer,01/01/2020,Thriller:Action:Drama:Crime,Christian Cavazos,Iván Aragón Montiel:Alexia Alexander Villa,Luca Valentini Padilla:Israel Islas Bustamante,English,97,378900000,378925000,7.21,PG-12
Madame Web,14/02/2024,Action:Fantasy,S.J. Clarkson,Dakota Johnson:Sydney Sweeney,Isabela Merced:Celeste O'Connor,English,60,183316455,96619699,5.522,PG-19
Agent State Farm,11/02/2024,Action:Thriller,Jim Jenkins,Arnold Schwarzenegger:Kevin Miles,Danny DeVito,English,60,378900000,378925000,9.3,PG-18
To The Future: The Movie,10/02/2024,Action:Comedy,Colton Bushie,Colton Bushie:jefftheweirdkid,Colton Bushie:MrTacoDude34,English,63,183316455,183341455,1.1,NR
Rekillection,09/02/2024,Drama:Action:Science Fiction,Cameron Cooke,Ranger Lerway:Cameron Cooke,Jonas Lerway:David Moon,English,71,18200000,18225000,1.2,PG-13
